top - 06:48:50 up 2 days, 21:40,  3 users,  load average: 0.25, 0.42, 0.38
Tasks: 234 total,   1 running, 228 sleeping,   3 stopped,   2 zombie
%Cpu(s):  1.7 us,  0.7 sy,  0.0 ni, 95.9 id,  1.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem:   3924064 total,  2702380 used,  1221684 free,   150068 buffers
KiB Swap:  3983356 total,      360 used,  3982996 free.  1300100 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1305 root      20   0   17756  14544   1520 S   6.2  0.4  14:11.77 collectl
18826 goldbeef  20   0  282528  30452  12036 S   6.2  0.8   0:06.76 chromium-browse
19137 goldbeef  20   0    6844   1336    952 R   6.2  0.0   0:00.02 top
    1 root      20   0    4600   2580   1364 S   0.0  0.1   0:02.23 init
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   1:18.14 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:0H
    7 root      20   0       0      0      0 S   0.0  0.0  10:00.52 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:00.45 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:02.30 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:02.52 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:05.06 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   0:45.56 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:0H
   16 root      rt   0       0      0      0 S   0.0  0.0   0:02.05 watchdog/2
   17 root      rt   0       0      0      0 S   0.0  0.0   0:00.30 migration/2
   18 root      20   0       0      0      0 S   0.0  0.0   1:38.91 ksoftirqd/2
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/2:0H
   21 root      rt   0       0      0      0 S   0.0  0.0   0:02.29 watchdog/3
   22 root      rt   0       0      0      0 S   0.0  0.0   0:00.57 migration/3
   23 root      20   0       0      0      0 S   0.0  0.0   0:53.40 ksoftirqd/3
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/3:0H
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   30 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   31 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   33 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   34 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   35 root      20   0       0      0      0 S   0.0  0.0   0:00.01 khubd
   36 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   37 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
